,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
237,16.0,1.0,4.0,5.0,0.0,1,0.0,0,0,0,0,0,0,0.0,0,0,0
238,24.5,0.0,2.0,2.0,1.0,2,1.0,21,5,1,0,0,0,0.0,NaN,0,0
239,22.5,1.0,3.0,5.0,0.0,1,1.0,NaN,3,0,0,0,0,0.0,NaN,0,0
240,15.0,1.0,1.0,2.0,1.0,3,0.0,21,0,0,0,0,0,0.0,0,0,0
241,22.5,0.0,1.0,1.0,1.0,1,1.0,17,36,0,1,15,5,,NaN,5,15
242,42.5,0.0,4.0,1.0,0.0,2,1.0,14,120,4,1,14,84,,NaN,30,16
243,19.0,1.0,1.0,1.0,0.0,2,1.0,18,104,8,1,18,7,,NaN,0,0
244,32.5,0.0,4.0,2.0,0.0,2,1.0,18,48,1,1,16,0,,NaN,0,18
245,17.0,1.0,3.0,1.0,0.0,2,0.0,18,0,0,0,0,0,0.0,0,0,0
246,24.5,0.0,2.0,1.0,0.0,1,1.0,14,52,15,1,15,0,0.0,NaN,0,0
247,57.5,0.0,4.0,1.0,0.0,2,1.0,27,6,0,0,0,0,0.0,NaN,0,0
248,18.0,1.0,1.0,1.0,0.0,2,1.0,18,104,4,1,16,120,,NaN,0,0
249,18.0,1.0,3.0,1.0,0.0,3,1.0,0,1,0,0,0,0,0.0,NaN,0,0
250,16.0,0.0,2.0,1.0,0.0,1,0.0,18,0,0,0,0,0,0.0,0,0,0
251,17.0,0.0,2.0,1.0,0.0,1,1.0,0,1,0,0,0,0,,NaN,0,0
252,27.5,0.0,1.0,5.0,0.0,2,1.0,16,7,1,0,0,0,0.0,NaN,0,0
253,22.5,1.0,4.0,1.0,0.0,2,1.0,16,108,3,0,0,0,0.0,NaN,0,0
254,13.0,1.0,1.0,2.0,1.0,2,0.0,15,0,0,0,0,0,0.0,0,0,0
255,21.0,1.0,1.0,1.0,0.0,1,1.0,17,60,1,1,Not sure,Not sure,,NaN,0,0
256,21.0,0.0,1.0,1.0,0.0,3,0.0,16,0,0,0,0,0,0.0,NaN,0,0
257,32.5,0.0,4.0,2.0,0.0,1,0.0,17,0,0,0,0,0,0.0,NaN,0,0
258,19.0,1.0,1.0,1.0,0.0,1,1.0,25,84,4,1,15,0,,NaN,0,0
259,24.5,0.0,4.0,1.0,0.0,1,1.0,9,0,0,1,17,0,,NaN,0,15
260,15.0,0.0,1.0,1.0,1.0,3,1.0,20,NaN,NaN,0,0,0,,NaN,0,0
261,19.0,1.0,1.0,5.0,0.0,1,0.0,21,0,0,0,0,0,0.0,NaN,0,0
262,57.5,0.0,2.0,1.0,0.0,2,0.0,13,0,0,0,0,0,0.0,NaN,0,0
263,57.5,1.0,2.0,1.0,0.0,1,1.0,21,12,1,1,16,0,,NaN,0,0
