,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
265,15.0,1,3,1,0,1,99,1,14,0,0,0,0,0,1,0,0.0,0,0,0
266,42.5,1,3,5,0,2,1,1,23,12,2,0,0,0,0,0,0.0,NaN,0,0
267,17.0,1,4,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
268,14.0,0,4,1,0,2,99,1,14,2,0,0,0,0,0,0,0.0,0,0,0
269,42.5,0,4,1,0,1,2,1,17,180,1,1,16,0,0,0,,NaN,0,16
270,32.5,1,2,3,1,2,3,1,15,300,3,1,16,364,0,0,,NaN,3,0
271,20.0,0,1,1,1,1,1,1,17,12,2,1,19,9,0,0,0.0,NaN,0,0
272,27.5,1,2,1,0,2,1,1,15,144,10,1,13,NaN,0,0,,NaN,1,0
273,42.5,0,2,7,1,2,4,1,17,48,4,1,11,0,0,0,,NaN,30,12
274,24.5,1,3,1,0,1,1,1,13,120,2,1,16,0,1,0,,NaN,30,20
275,20.0,0,3,1,0,2,1,1,16,3,3,1,17,0,0,0,0.0,NaN,0,0
276,21.0,0,2,7,1,1,2,1,18,24,3,1,18,0,0,0,,NaN,0,0
277,17.0,0,2,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
278,32.5,1,4,1,0,2,1,1,16,104,6,1,14,0,1,0,,NaN,30,17
279,32.5,1,4,1,0,1,1,1,18,52,3,0,0,0,0,0,,NaN,3,18
280,42.5,0,3,1,0,1,1,1,14,5,0,1,16,0,0,0,,NaN,30,13
281,24.5,1,1,7,1,2,3,1,10,16,3,1,9,364,1,0,,NaN,30,13
