,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month
298,16.0,0,4,7,0,1.0,99,1,14,2,0,1,15,NaN,0,0
299,27.5,0,3,1,0,1.0,4,1,18,72,1,1,9,0,0,0
300,12.0,0,2,7,1,3.0,99,0,21,0,0,0,0,0,0,0
301,14.0,0,2,1,1,1.0,99,0,0,0,0,0,0,0,0,0
302,24.5,1,4,5,0,1.0,4,0,16,0,0,0,0,0,0,0
303,32.5,1,2,7,0,1.0,1,1,0,104,6,1,13,0,0,0
304,27.5,1,3,7,0,3.0,1,1,15,156,2,1,14,0,1,0
305,12.0,1,1,1,1,1.0,99,0,0,0,0,0,0,0,0,0
306,32.5,1,3,1,0,2.0,1,1,17,156,2,0,0,0,0,0
307,70.0,0,3,1,0,1.0,4,1,0,0,0,0,0,0,0,0
308,18.0,1,3,1,0,1.0,2,0,18,0,0,0,0,0,0,0
309,27.5,0,2,7,1,1.0,1,1,22,104,0,1,12,312,1,0
310,27.5,0,1,2,0,1.0,4,0,0,0,0,0,0,0,0,0
311,27.5,1,4,1,1,1.0,3,1,14,104,9,1,20,0,0,0
312,42.5,0,3,1,1,1.0,1,1,14,8,0,1,19,3,0,0
313,42.5,1,4,1,0,1.0,1,1,12,52,1,0,0,0,0,0
314,42.5,0,4,1,0,1.0,1,1,17,4,0,1,18,3,0,0
315,16.0,0,2,2,0,2.0,99,1,0,NaN,NaN,1,15,24,0,0
316,12.0,1,2,7,0,2.0,99,0,15,0,0,0,0,0,NaN,NaN
317,24.5,1,1,1,0,1.0,1,1,16,156,1,1,20,0,0,0
318,13.0,1,4,2,0,2.0,99,0,0,0,0,0,0,0,0,0
319,15.0,1,1,7,1,3.0,99,0,23,0,0,0,0,0,0,0
320,70.0,1,2,1,1,2.0,4,1,16,0,0,1,18,0,0,0
321,21.0,0,2,7,1,2.0,1,1,15,240,3,0,0,0,0,0
322,42.5,1,2,7,1,1.0,1,1,15,104,1,0,0,0,0,0
323,27.5,0,2,2,0,2.0,1,1,12,4,0,1,24,0,0,0
324,12.0,1,4,1,0,3.0,99,0,0,0,0,0,0,0,0,0
325,70.0,0,4,1,0,1.0,4,1,18,0,0,0,0,0,0,0
326,14.0,1,4,1,0,1.0,99,1,15,3,0,0,0,0,0,0
327,18.0,1,4,1,0,2.0,2,1,0,60,NaN,1,11,2,0,0
328,27.5,0,2,2,0,1.0,1,1,0,10,1,0,0,0,1,0
329,70.0,1,1,1,0,1.0,4,1,14,24,0,1,29,0,0,0
330,19.0,1,2,1,1,2.0,3,0,16,0,0,0,0,0,0,0
331,42.5,1,4,2,0,1.0,1,1,15,104,2,1,21,0,0,0
332,70.0,0,4,1,0,1.0,1,1,20,208,2,1,22,10,1,0
333,42.5,1,4,1,0,1.0,1,1,21,104,1,0,0,0,0,0
334,57.5,1,2,2,0,3.0,3,1,20,104,4,1,16,156,0,0
335,18.0,0,1,1,0,2.0,4,0,0,0,0,0,0,0,0,0
336,19.0,0,1,1,0,2.0,4,1,19,156,NaN,0,0,0,0,0
337,12.0,0,2,1,1,1.0,99,1,15,1,0,0,0,0,0,0
338,18.0,1,4,1,0,3.0,3,0,0,0,0,0,0,0,0,0
339,27.5,0,4,1,0,1.0,1,1,13,72,2,0,0,0,0,0
340,22.5,0,4,7,0,1.0,4,1,0,0,0,0,0,0,0,0
341,18.0,0,4,1,0,2.0,2,0,16,0,0,0,0,0,0,0
342,57.5,0,2,7,0,1.0,1,1,21,1,0,1,14,0,0,0
343,42.5,1,2,7,0,1.0,1,1,18,208,2,0,0,0,0,0
344,57.5,0,3,1,0,1.0,1,0,7,0,0,1,16,0,0,0
345,42.5,0,4,1,0,2.0,1,1,20,9,NaN,0,0,0,0,0
346,27.5,1,2,7,0,2.0,2,1,0,156,44,1,14,0,0,0
347,32.5,0,1,1,0,1.0,1,1,14,26,1,0,0,0,0,0
